Time,ID,Bus,DataLen,INV_Fast_Torque_Command,INV_Fast_Torque_Feedback,INV_Fast_Motor_Speed,INV_Fast_DC_Bus_Voltage,
946702807.447000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.450000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.453000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.456000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,241voltage:V,
946702807.459000,0x000005D0,0,8,0torque:N.m,-0.2torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.462000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.465000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.468000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.471000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,239.9voltage:V,
946702807.474000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.477000,0x000005D0,0,8,0torque:N.m,1.2torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.480000,0x000005D0,0,8,0torque:N.m,-0.9torque:N.m,1angular_speed:rpm,239.9voltage:V,
946702807.483000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,239.7voltage:V,
946702807.486000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.489000,0x000005D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.492000,0x000005D0,0,8,0torque:N.m,0.8torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.495000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.498000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.2voltage:V,
